NAME,DATE,PRCP,TAVG,TMAX,TMIN
"BROOME AIRPORT, AS",01-08-60,0,67,77,61
"BROOME AIRPORT, AS",02-08-60,0,66,78,53
"BROOME AIRPORT, AS",03-08-60,0,69,83,55
"BROOME AIRPORT, AS",04-08-60,0,71,79,59
"BROOME AIRPORT, AS",05-08-60,0,73,86,66
"BROOME AIRPORT, AS",06-08-60,0,71,87,62
"BROOME AIRPORT, AS",07-08-60,0,71,88,58
"BROOME AIRPORT, AS",08-08-60,0,70,87,58
"BROOME AIRPORT, AS",09-08-60,0,69,87,55
"BROOME AIRPORT, AS",10-08-60,0,72,90,54
"BROOME AIRPORT, AS",11-08-60,0,75,88,58
"BROOME AIRPORT, AS",12-08-60,0,70,82,62
"BROOME AIRPORT, AS",13-08-60,0,70,86,55
"BROOME AIRPORT, AS",14-08-60,0,65,81,55
"BROOME AIRPORT, AS",15-08-60,0,68,85,48
"BROOME AIRPORT, AS",16-08-60,0,69,86,48
"BROOME AIRPORT, AS",17-08-60,0,69,84,54
"BROOME AIRPORT, AS",18-08-60,0,70,80,58
"BROOME AIRPORT, AS",19-08-60,0,70,82,59
"BROOME AIRPORT, AS",20-08-60,0,71,84,56
"BROOME AIRPORT, AS",21-08-60,0,76,94,61
"BROOME AIRPORT, AS",22-08-60,0,74,85,60
"BROOME AIRPORT, AS",23-08-60,0,75,93,64
"BROOME AIRPORT, AS",24-08-60,0.01,72,91,59
"BROOME AIRPORT, AS",25-08-60,0,71,84,54
"BROOME AIRPORT, AS",26-08-60,0,76,92,57
"BROOME AIRPORT, AS",27-08-60,0,80,93,63
"BROOME AIRPORT, AS",28-08-60,0,80,94,69
"BROOME AIRPORT, AS",29-08-60,0,79,94,70
"BROOME AIRPORT, AS",30-08-60,0,75,92,66
"BROOME AIRPORT, AS",31-08-60,0,72,82,61
"BROOME AIRPORT, AS",01-09-60,0,74,82,60
"BROOME AIRPORT, AS",02-09-60,0,76,85,67
"BROOME AIRPORT, AS",03-09-60,0.01,74,85,65
"BROOME AIRPORT, AS",04-09-60,0.01,74,84,64
"BROOME AIRPORT, AS",05-09-60,0.01,76,85,62
"BROOME AIRPORT, AS",06-09-60,0.02,76,85,69
"BROOME AIRPORT, AS",07-09-60,0,81,92,67
"BROOME AIRPORT, AS",08-09-60,0,80,94,69
"BROOME AIRPORT, AS",09-09-60,0,77,88,66
"BROOME AIRPORT, AS",10-09-60,0,75,82,68
"BROOME AIRPORT, AS",11-09-60,0.01,77,82,68
"BROOME AIRPORT, AS",12-09-60,0,75,81,72
"BROOME AIRPORT, AS",13-09-60,0,78,91,69
"BROOME AIRPORT, AS",14-09-60,0,77,92,65
"BROOME AIRPORT, AS",15-09-60,0,74,85,65
"BROOME AIRPORT, AS",16-09-60,0,74,85,62
"BROOME AIRPORT, AS",17-09-60,0,75,81,64
"BROOME AIRPORT, AS",18-09-60,0,76,83,67
"BROOME AIRPORT, AS",19-09-60,0,76,83,73
"BROOME AIRPORT, AS",20-09-60,0,74,80,71
"BROOME AIRPORT, AS",21-09-60,0,76,81,71
"BROOME AIRPORT, AS",22-09-60,0,76,80,73
"BROOME AIRPORT, AS",23-09-60,0,75,81,71
"BROOME AIRPORT, AS",24-09-60,0,79,92,68
"BROOME AIRPORT, AS",25-09-60,0,79,93,68
"BROOME AIRPORT, AS",26-09-60,0,78,96,66
"BROOME AIRPORT, AS",27-09-60,0,79,90,62
"BROOME AIRPORT, AS",28-09-60,0,75,89,69
"BROOME AIRPORT, AS",29-09-60,0,76,83,64
