name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2022-02-07,26.4,20.9,23.8,26.4,20.9,23.8,19.1,76.2,0,0,,,,,23.8,23.8,238.5,1014.1,17,8.8,27.5,0.5,1,10,2022-02-07T07:10:47,2022-02-07T18:35:04,0.2,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ"
mumbai,2022-02-08,24.1,22.6,23.3,24.1,22.6,23.3,16,63.4,0,0,,,,,21.6,22.3,280.9,1012.4,2.9,24.1,243.2,20,9,10,2022-02-08T07:10:22,2022-02-08T18:35:34,0.25,Clear,Clear conditions throughout the day.,clear-day,
mumbai,2022-02-09,23.9,22.1,23.2,23.9,22.1,23.2,16,63.7,0,0,,,,,31,30.6,254.3,1012.3,10.7,24.1,243.5,20.1,9,10,2022-02-09T07:09:56,2022-02-09T18:36:04,0.29,Clear,Clear conditions throughout the day.,wind,
mumbai,2022-02-10,25.3,22.3,24,25.3,22.3,24,16.4,62.7,0,0,,,,,38.2,32.4,228.6,1011.6,2.4,24.1,247.6,20.5,9,10,2022-02-10T07:09:29,2022-02-10T18:36:34,0.34,Clear,Clear conditions throughout the day.,wind,
mumbai,2022-02-11,27.6,24,25.6,27.8,24,25.6,16.2,56.4,0,0,,,,,44.3,33.8,182.3,1010.1,16.3,24.1,245.8,20.3,9,10,2022-02-11T07:09:01,2022-02-11T18:37:03,0.38,Clear,Clear conditions throughout the day.,wind,
mumbai,2022-02-12,28.3,25.1,26.4,28.4,25.1,26.5,16.2,53.8,0,0,,,,,41.4,29.9,160.4,1010,2.4,24.1,249.8,21,9,10,2022-02-12T07:08:32,2022-02-12T18:37:31,0.42,Clear,Clear conditions throughout the day.,clear-day,
mumbai,2022-02-13,26.8,25.3,26,27.2,25.3,26,16.5,56.5,0,0,,,,,37.4,28.4,167.8,1008.4,0.5,24.1,252.7,21.1,9,10,2022-02-13T07:08:03,2022-02-13T18:37:59,0.45,Clear,Clear conditions throughout the day.,clear-day,
mumbai,2022-02-14,25.5,24.5,24.9,25.5,24.5,24.9,16.7,60.5,0,0,,,,,33.5,28.1,290.6,1008,0.5,24.1,250.6,21,9,10,2022-02-14T07:07:32,2022-02-14T18:38:26,0.48,Clear,Clear conditions throughout the day.,clear-day,
mumbai,2022-02-15,24.6,23.4,24.2,24.6,23.4,24.2,16.4,61.6,0,0,,,,,29.9,29.2,293.7,1008.8,31.3,24.1,248.9,20.9,9,10,2022-02-15T07:07:00,2022-02-15T18:38:53,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
mumbai,2022-02-16,24.7,23,24.1,24.7,23,24.1,16.3,61.5,0,0,,,,,24.1,23,244,1008.8,59.3,24.1,247.4,20.7,8,10,2022-02-16T07:06:27,2022-02-16T18:39:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mumbai,2022-02-17,25.5,23.6,24.7,25.5,23.6,24.7,16.7,61.2,0,0,,,,,34.9,28.8,299.5,1006.9,58.7,24.1,253.8,21.2,9,10,2022-02-17T07:05:53,2022-02-17T18:39:45,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mumbai,2022-02-18,26.7,24.6,25.6,26.7,24.6,25.6,16.5,57.7,0,0,,,,,40.3,30.2,298.4,1006.1,36.7,24.1,257.1,21.3,9,10,2022-02-18T07:05:18,2022-02-18T18:40:11,0.52,Partially cloudy,Partly cloudy throughout the day.,wind,
mumbai,2022-02-19,27.9,25.9,26.7,28.2,25.9,27,17.2,56,0,0,,,,,38.9,29.9,173,1006,76.8,24.1,255.1,21.2,9,10,2022-02-19T07:04:43,2022-02-19T18:40:36,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mumbai,2022-02-20,27.2,26.3,26.7,27.8,26.3,26.9,17.2,56.3,0,0,,,,,32.8,26.6,188.8,1004.6,91.7,24.1,262.5,21.8,9,10,2022-02-20T07:04:06,2022-02-20T18:41:00,0.58,Overcast,Cloudy skies throughout the day.,cloudy,
mumbai,2022-02-21,25.8,24.8,25.2,25.8,24.8,25.2,18.8,67.7,0,4.8,,,,,38.9,32.4,336.5,1005.3,53,24.1,259,21.6,9,10,2022-02-21T07:03:29,2022-02-21T18:41:24,0.62,Partially cloudy,Partly cloudy throughout the day.,wind,
